GeneMANIA Results
Plugin Version	3.2.1 (20130510-1552)
Data Version	custom
Report Generated	Mon Jul 10 17:26:18 EDT 2017

Gene	Score	Description
TCGA-B0-4690		TCGA-B0-4690
TCGA-B0-4698		TCGA-B0-4698
TCGA-B0-4699		TCGA-B0-4699
TCGA-B0-4701		TCGA-B0-4701
TCGA-B0-4703		TCGA-B0-4703
TCGA-B0-4713		TCGA-B0-4713
TCGA-B0-4714		TCGA-B0-4714
TCGA-B0-4821		TCGA-B0-4821
TCGA-CW-5584		TCGA-CW-5584
TCGA-CW-6097		TCGA-CW-6097
TCGA-B0-4706		TCGA-B0-4706
TCGA-DV-5576		TCGA-DV-5576
TCGA-B0-4846		TCGA-B0-4846
TCGA-B0-4707		TCGA-B0-4707
TCGA-B0-5080		TCGA-B0-5080
TCGA-B0-4819		TCGA-B0-4819
TCGA-B0-4813		TCGA-B0-4813
TCGA-B0-5095		TCGA-B0-5095
TCGA-CZ-5454		TCGA-CZ-5454
TCGA-B0-5109		TCGA-B0-5109
TCGA-B0-5092		TCGA-B0-5092
TCGA-CJ-5678		TCGA-CJ-5678
TCGA-B0-4828		TCGA-B0-4828
TCGA-B0-5107		TCGA-B0-5107
TCGA-B0-4691		TCGA-B0-4691
TCGA-B0-4814		TCGA-B0-4814
TCGA-B0-4694		TCGA-B0-4694
TCGA-CJ-5680		TCGA-CJ-5680
TCGA-B0-5099		TCGA-B0-5099
TCGA-CZ-5461		TCGA-CZ-5461
TCGA-B0-5694		TCGA-B0-5694
TCGA-B0-4841		TCGA-B0-4841
TCGA-BP-5173		TCGA-BP-5173
TCGA-B0-4852		TCGA-B0-4852
TCGA-B0-4697		TCGA-B0-4697
TCGA-CJ-6033		TCGA-CJ-6033
TCGA-B0-5094		TCGA-B0-5094
TCGA-CZ-5468		TCGA-CZ-5468
TCGA-B0-4843		TCGA-B0-4843
TCGA-BP-5189		TCGA-BP-5189
TCGA-CJ-4918		TCGA-CJ-4918
TCGA-CZ-5987		TCGA-CZ-5987
TCGA-BP-5010		TCGA-BP-5010
TCGA-CJ-4920		TCGA-CJ-4920
TCGA-CZ-5469		TCGA-CZ-5469
TCGA-CZ-5467		TCGA-CZ-5467
TCGA-CJ-5679		TCGA-CJ-5679
TCGA-CZ-5455		TCGA-CZ-5455
TCGA-BP-4770		TCGA-BP-4770
TCGA-B0-4811		TCGA-B0-4811
TCGA-B0-4810		TCGA-B0-4810
TCGA-B0-4823		TCGA-B0-4823
TCGA-CZ-4865		TCGA-CZ-4865
TCGA-CZ-5462		TCGA-CZ-5462
